State,Area_Name,Unemployment_rate_2021,Unemployment_rate_2022,Med_HH_Income_Percent_of_State_Total_2021,Median_Household_Income_2021
FL,Orange,5.1,2.9,102.4,64579.0
FL,Osceola,6.2,3.4,95.9,60495.0
FL,Palm Beach,4.4,2.9,111.1,70024.0
FL,Pasco,4.5,3.0,94.5,59555.0
FL,Pinellas,4.1,2.6,98.1,61851.0
FL,Polk,5.4,3.5,89.4,56344.0
FL,Putnam,6.0,4.1,61.5,38759.0
FL,Santa Rosa,3.6,2.7,128.2,80837.0
FL,Sarasota,4.0,2.9,113.6,71630.0
FL,Seminole,4.1,2.7,111.8,70470.0
FL,St. Johns,3.1,2.3,150.1,94662.0
FL,St. Lucie,5.0,3.4,98.9,62378.0
FL,Sumter,5.4,4.1,110.6,69707.0
FL,Suwannee,4.6,3.2,73.4,46284.0
FL,Taylor,5.2,3.3,74.7,47083.0
FL,Union,3.8,2.9,77.2,48667.0
FL,Volusia,4.7,3.1,92.4,58246.0
FL,Wakulla,3.2,2.5,114.1,71962.0
FL,Walton,3.6,2.6,102.7,64779.0
FL,Washington,4.6,3.2,76.0,47930.0
GA,Appling,3.6,3.6,70.0,46530.0
GA,Atkinson,2.9,2.7,60.6,40303.0
GA,Bacon,3.3,2.9,64.9,43154.0
GA,Baker,4.9,4.0,66.3,44106.0
GA,Baldwin,4.8,4.0,67.2,44685.0
GA,Banks,2.6,2.2,90.9,60485.0
GA,Barrow,2.9,2.5,101.7,67646.0
GA,Bartow,3.5,2.9,101.6,67604.0
GA,Ben Hill,5.3,4.3,59.9,39863.0
GA,Berrien,3.8,3.2,69.8,46404.0
GA,Bibb,5.0,3.7,72.0,47859.0
GA,Bleckley,5.1,4.3,77.8,51770.0
GA,Brantley,3.7,3.5,72.3,48076.0
GA,Brooks,3.8,3.1,61.6,40936.0
GA,Bryan,2.9,2.6,131.3,87334.0
GA,Bulloch,4.1,3.4,79.8,53105.0
GA,Burke,5.8,5.2,70.6,46977.0
GA,Butts,3.6,2.8,92.4,61471.0
GA,Calhoun,4.1,3.2,57.5,38232.0
GA,Camden,3.2,3.0,95.5,63482.0
GA,Candler,3.0,2.4,62.5,41593.0
GA,Carroll,3.7,3.1,90.1,59894.0
GA,Catoosa,2.8,2.7,96.6,64245.0
GA,Charlton,3.2,3.1,71.0,47229.0
GA,Chatham,4.3,3.0,92.5,61527.0
GA,Chattahoochee,4.5,4.6,80.9,53786.0
GA,Chattooga,4.8,4.2,64.6,42974.0
GA,Cherokee,2.6,2.4,145.8,96997.0
GA,Clarke,3.9,3.3,73.9,49145.0
GA,Clay,9.9,6.7,54.1,35957.0
